salary,work_accident,satisfaction_level,time_spend_company,average_montly_hours,left
medium,0,0.84,2,224,0
high,0,0.93,4,252,0
medium,1,0.97,8,154,0
medium,0,0.71,8,140,0
low,0,0.09,4,248,1
medium,0,0.52,3,148,0
medium,0,0.96,2,187,0
medium,0,0.5,8,163,0
medium,0,0.59,2,190,0
medium,0,0.9,3,176,0
medium,0,0.58,3,274,0
medium,0,0.52,3,221,0
medium,1,0.45,3,154,1
low,0,0.38,3,143,1
low,0,0.87,3,233,0
medium,0,0.37,3,127,1
medium,0,0.99,3,184,0
low,0,0.38,3,137,1
low,1,0.82,2,139,0
low,0,0.5,4,262,0
medium,1,0.95,3,175,0
low,0,0.74,3,241,0
low,0,0.65,2,168,0
medium,1,0.93,3,137,0
low,1,0.46,3,143,1
low,0,0.36,3,158,1
medium,0,0.51,3,157,0
medium,0,0.9,6,264,1
medium,1,0.67,3,190,0
medium,0,0.2,7,167,0
low,0,0.09,4,282,1
low,0,0.11,4,296,1
medium,0,0.82,3,200,0
low,0,0.93,3,271,0
low,1,0.78,3,156,0
high,0,0.99,3,216,0
high,1,0.53,3,150,0
low,0,0.19,5,196,0
low,0,0.89,2,208,0
medium,0,0.41,3,145,1
medium,0,0.51,2,175,0
medium,0,0.62,6,153,0
low,0,0.64,3,207,0
low,0,0.83,3,161,0
low,1,0.62,2,216,0
medium,0,0.77,6,249,1
low,0,0.49,4,245,0
low,0,0.41,3,128,1
low,0,0.87,4,272,0
medium,0,1.0,4,241,0
low,0,0.66,2,135,0
medium,0,1.0,2,141,0
low,0,0.43,3,142,1
high,0,0.44,3,193,0
medium,0,0.28,4,279,0
high,1,0.94,3,191,0
high,0,0.76,3,161,0
high,0,0.79,3,222,0
medium,1,1.0,4,186,0
low,0,0.71,2,228,0
medium,0,0.21,5,229,0
low,0,0.23,5,131,0
medium,0,0.52,3,192,0
low,0,0.65,2,221,0
medium,0,0.79,5,223,0
medium,0,0.23,6,242,0
low,1,0.74,3,192,0
high,0,0.78,3,139,0
low,0,0.34,2,141,1
low,0,0.95,2,225,0
medium,0,0.26,5,161,0
medium,0,0.85,4,236,0
high,0,0.42,3,143,1
high,0,0.73,3,134,0
medium,0,0.56,3,224,0
medium,1,0.97,3,149,0
low,0,0.49,3,133,0
medium,0,0.73,6,194,0
low,0,0.9,4,154,1
medium,0,0.1,4,285,1
low,0,0.91,5,247,1
medium,0,0.77,5,254,0
medium,0,0.88,3,213,0
low,0,0.72,4,240,0
medium,0,0.59,5,122,0
medium,0,0.71,3,209,0
low,0,0.99,3,221,0
low,0,0.99,6,219,0
medium,0,0.09,4,268,1
low,0,0.93,5,185,0
medium,0,0.61,3,242,0
low,0,0.91,4,97,0
medium,0,0.83,3,263,0
low,0,0.79,4,195,0
low,0,0.74,5,233,1
low,0,0.77,2,186,0
medium,0,0.52,3,168,0
low,0,0.63,3,146,0
medium,0,0.61,2,139,0
low,0,0.55,4,148,0
medium,0,0.84,3,171,0
medium,0,0.41,3,142,1
low,1,0.66,3,269,0
medium,0,0.84,3,234,0
low,0,0.84,6,246,1
high,0,0.57,3,146,0
medium,1,0.21,2,189,0
low,0,0.73,5,232,1
low,0,0.16,6,261,0
medium,0,0.58,2,171,0
low,0,0.58,2,199,0
medium,0,0.62,2,198,0
medium,1,0.78,2,207,0
low,0,0.24,5,160,0
low,0,0.67,6,235,0
medium,0,0.58,3,220,0
medium,0,0.83,3,262,0
high,0,0.41,6,262,0
low,0,0.77,3,212,0
low,0,0.83,2,165,0
medium,0,0.97,2,251,0
medium,1,0.62,3,149,0
low,1,0.1,4,283,1
medium,0,0.98,3,260,0
low,0,0.96,5,128,0
medium,0,0.97,2,133,0
low,0,0.37,3,131,1
low,0,0.9,3,215,0
medium,0,0.8,3,164,0
low,0,0.41,3,135,1
low,0,0.45,3,105,0
medium,0,0.74,2,154,0
medium,0,0.58,2,271,0
low,0,0.91,5,116,0
medium,0,0.62,2,169,0
low,0,0.39,3,146,1
medium,1,0.7,4,102,0
low,0,0.09,4,289,1
low,0,0.44,3,146,1
low,0,0.74,5,231,1
medium,0,0.97,6,160,0
low,1,0.55,3,256,0
low,0,0.39,3,155,1
low,0,0.88,4,205,0
high,0,0.63,3,192,0
low,0,0.83,5,269,1
low,0,0.79,2,233,0
low,0,0.81,3,133,0
low,1,0.95,2,183,0
low,0,0.45,3,160,1
low,0,0.78,3,259,0
medium,0,0.69,3,141,0
medium,1,0.75,5,158,0
medium,0,0.62,2,134,0
medium,0,0.21,3,226,0
medium,0,0.58,3,222,0
low,0,1.0,3,174,0
low,1,0.64,5,156,0
low,1,0.82,2,152,0
medium,0,0.99,4,128,0
high,1,0.17,3,226,0
low,0,0.82,2,257,0
medium,0,0.84,3,242,0
medium,1,0.63,2,177,0
low,0,0.83,5,224,1
low,0,0.99,3,213,0
medium,0,0.96,2,145,0
medium,0,0.25,8,229,0
medium,1,0.59,3,240,0
medium,0,0.63,4,175,0
low,0,0.6,3,202,0
low,0,0.92,6,229,1
low,0,0.16,3,235,0
low,0,0.17,3,194,0
low,0,0.1,4,253,1
medium,1,0.19,3,178,0
low,0,0.97,6,271,0
medium,0,0.52,3,136,0
low,0,0.97,3,223,0
medium,0,0.86,3,137,0
medium,0,0.96,3,243,0
medium,0,0.77,4,200,0
low,0,0.59,2,270,0
high,0,0.72,3,213,0
medium,0,0.29,4,124,0
low,0,0.92,3,161,0
low,0,0.61,3,148,0
low,0,0.16,2,197,0
low,0,0.91,5,246,1
low,0,0.36,3,155,1
high,0,0.5,4,107,0
low,0,0.45,3,149,1
medium,0,0.63,2,141,0
medium,1,0.94,3,266,0
medium,0,0.53,3,206,0
low,1,0.53,3,249,0
medium,0,0.51,4,230,0
medium,1,0.31,3,104,0
low,1,0.84,2,189,0
medium,0,0.7,4,135,0
low,0,0.82,3,205,0
low,1,0.81,5,205,0
medium,0,0.62,2,229,0
medium,1,0.92,2,178,0
medium,0,0.41,3,136,1
medium,0,0.98,3,238,0
low,0,0.63,2,133,0
low,0,0.7,2,247,0
low,0,0.58,3,205,0
medium,0,0.95,3,163,0
medium,0,0.75,2,274,0
low,0,0.18,5,145,0
low,1,0.6,4,219,0
medium,0,0.97,3,221,0
high,0,0.89,10,251,0
medium,0,0.19,6,269,0
low,1,0.66,3,192,0
low,0,0.78,3,202,0
low,0,0.1,4,247,1
low,0,0.76,3,156,0
low,0,0.74,5,238,1
medium,0,0.9,3,249,0
low,0,0.11,4,302,1
medium,0,0.92,3,208,0
medium,0,0.82,3,155,0
medium,0,0.68,2,206,0
medium,0,0.66,3,201,0
low,0,0.76,3,243,0
low,0,0.43,3,135,1
low,0,0.41,3,152,1
medium,0,0.37,3,140,1
low,1,0.68,4,207,0
medium,0,0.52,2,230,0
medium,0,0.91,3,167,0
low,0,0.79,3,266,0
low,0,0.61,3,225,0
medium,0,0.88,3,220,0
medium,0,0.79,2,268,0
low,0,0.5,3,223,0
medium,1,0.81,2,181,0
medium,0,0.64,4,163,0
medium,1,0.76,2,278,0
high,0,0.78,3,252,0
low,0,0.73,4,247,0
low,0,0.65,3,206,0
low,0,0.86,3,183,0
medium,0,0.7,4,226,0
low,0,0.81,3,225,0
low,0,0.6,3,272,0
medium,0,0.85,4,261,0
medium,0,0.76,3,250,0
medium,0,0.78,3,264,0
medium,0,0.84,3,222,0
low,1,0.11,4,273,1
medium,0,0.8,3,212,0
medium,0,0.92,2,247,0
medium,0,0.77,2,263,0
low,0,0.11,4,306,1
low,0,0.65,10,201,0
high,1,0.92,3,220,0
medium,0,0.64,6,114,0
low,0,0.79,4,190,0
low,0,0.94,3,220,0
high,1,0.91,4,172,0
medium,0,0.48,3,179,0
low,1,0.6,4,146,0
medium,0,0.54,3,175,0
medium,0,0.18,6,208,0
medium,0,0.11,4,287,1
medium,0,0.73,2,228,0
low,0,0.95,3,245,0
low,0,0.77,3,141,0
medium,1,0.77,2,274,0
low,0,0.73,3,227,0
low,1,0.25,5,287,0
medium,0,0.76,3,242,0
low,0,0.73,4,224,0
low,0,0.9,2,179,0
medium,0,0.09,4,260,1
low,0,0.5,2,208,0
medium,0,0.77,3,223,0
low,0,0.72,2,240,1
medium,0,0.37,3,140,1
medium,0,0.1,4,280,1
medium,1,0.76,5,253,1
high,0,0.96,3,169,0
low,0,0.87,5,269,1
low,0,0.74,2,216,0
medium,0,0.67,2,133,0
low,1,0.69,2,266,0
medium,0,0.89,6,260,0
medium,1,0.94,3,238,0
low,0,0.69,2,155,0
medium,0,0.56,3,258,0
medium,0,0.18,4,165,0
medium,0,0.64,3,242,0
medium,0,0.85,2,176,0
low,0,0.72,3,239,0
low,0,0.91,7,220,0
medium,0,0.8,3,268,0
medium,0,0.78,4,97,0
medium,0,0.58,3,268,0
low,0,0.72,3,202,0
low,0,0.1,4,286,1
medium,0,0.76,6,168,0
medium,0,0.1,4,279,1
medium,0,0.48,3,146,0
medium,0,0.85,3,214,0
low,0,0.86,2,220,0
medium,0,0.96,2,198,0
low,0,0.4,3,155,1
medium,0,0.64,2,218,0
medium,0,0.74,2,224,0
high,0,0.6,3,201,0
medium,0,0.56,3,161,0
low,0,0.18,5,110,0
medium,1,0.81,2,212,0
low,0,0.61,3,172,0
medium,1,0.96,2,205,0
high,1,0.57,4,157,0
low,0,0.71,4,183,0
low,0,0.64,2,147,0
medium,0,0.49,4,188,0
low,0,0.9,2,272,0
low,0,0.54,3,141,0
low,1,0.3,4,309,1
low,0,0.85,4,280,0
medium,1,0.69,6,269,0
low,0,0.57,3,146,0
medium,0,0.78,3,227,0
low,0,0.82,2,140,0
low,0,0.73,3,258,0
low,0,0.55,2,253,0
medium,0,0.63,2,243,0
low,1,0.76,3,266,0
medium,0,0.76,3,154,0
low,1,0.42,3,147,1
medium,1,0.6,2,226,0
high,0,0.98,3,253,0
medium,1,0.69,10,257,0
medium,0,0.42,4,139,0
high,0,0.17,5,183,0
low,0,0.67,3,256,0
medium,0,0.77,4,216,0
medium,0,0.73,3,229,0
low,0,0.52,2,231,0
low,0,0.84,3,194,0
medium,0,0.96,6,231,0
low,0,0.2,5,272,0
medium,0,0.4,3,140,1
medium,0,0.88,4,274,0
low,0,0.97,2,249,0
medium,0,0.14,5,117,0
medium,1,0.89,3,190,0
high,0,0.96,2,179,0
medium,1,0.1,4,254,1
medium,0,0.69,2,178,0
medium,0,0.6,4,187,0
high,0,0.9,4,260,0
high,1,0.83,2,217,0
low,0,0.98,3,249,0
medium,0,0.91,3,210,0
low,0,0.36,3,137,1
high,0,0.75,5,270,1
medium,0,0.16,5,206,0
low,1,0.75,2,158,0
medium,0,0.5,2,172,0
low,0,0.77,5,237,1
medium,1,0.96,3,145,0
low,0,0.63,2,244,0
low,0,0.78,4,223,0
medium,0,0.92,4,111,0
medium,0,0.9,3,193,0
low,0,0.45,5,129,0
medium,0,0.74,3,132,0
low,0,0.66,4,253,0
low,0,0.92,4,261,0
low,0,0.11,4,303,1
medium,1,0.64,3,167,0
medium,0,0.71,3,131,0
medium,0,0.98,10,190,0
low,1,0.95,3,235,0
low,0,0.7,3,209,0
high,0,0.78,3,236,0
medium,1,1.0,3,182,0
low,0,0.46,3,108,0
low,0,0.83,5,235,1
medium,0,0.44,3,129,1
low,0,0.83,5,275,1
low,0,0.72,3,186,0
low,0,0.46,5,286,0
high,0,0.57,3,158,0
low,0,0.45,3,144,1
medium,0,0.11,4,247,1
medium,0,0.78,3,248,0
high,0,0.73,3,222,0
low,0,0.78,3,260,0
medium,0,0.65,2,145,0
medium,0,0.56,2,220,0
low,0,0.97,2,135,0
medium,0,0.74,5,106,0
low,0,0.39,3,154,1
medium,0,0.5,4,201,0
medium,0,0.98,3,137,0
medium,0,0.6,4,132,0
medium,0,0.94,3,157,0
low,0,0.8,3,171,0
low,0,0.84,3,197,0
low,0,1.0,3,201,0
low,0,0.5,4,150,0
medium,0,0.8,3,166,0
low,0,0.48,2,228,0
medium,1,0.45,3,153,1
low,0,0.76,2,259,0
low,0,0.84,5,250,1
high,0,0.76,2,133,0
medium,0,0.11,4,269,1
low,0,0.86,4,153,0
low,0,0.61,3,273,0
high,0,0.76,5,238,1
medium,0,1.0,3,198,0
low,0,0.48,3,235,0
low,0,0.71,2,140,0
low,0,0.41,3,133,1
low,0,0.92,3,270,0
low,0,0.73,4,181,0
low,0,0.88,3,142,0
medium,0,0.65,8,143,0
medium,0,0.85,3,158,0
high,1,0.52,6,280,0
low,0,0.44,3,152,0
low,0,0.61,3,140,0
low,0,0.52,2,170,0
low,0,0.99,3,236,0
high,0,0.67,3,251,0
medium,0,0.51,3,272,0
low,0,0.76,2,154,0
medium,0,0.7,3,145,0
low,1,0.6,3,163,0
low,0,0.66,3,179,0
medium,0,0.79,3,240,0
medium,0,0.63,3,215,0
medium,0,0.74,6,286,0
low,0,0.79,3,152,0
low,0,0.81,3,184,0
medium,0,0.98,2,232,0
low,0,0.61,2,252,0
medium,0,0.43,3,136,1
low,0,0.73,2,189,1
low,0,0.84,6,97,0
low,0,0.87,5,228,1
medium,0,0.1,4,310,1
low,0,0.69,3,168,0
high,0,0.42,5,108,0
medium,1,0.67,2,159,0
low,0,0.71,3,201,0
medium,0,0.9,3,156,0
medium,0,0.16,6,238,0
high,1,0.54,2,253,0
medium,0,0.18,6,174,0
low,0,0.9,6,243,1
low,0,0.59,3,222,0
high,0,0.59,2,138,0
low,0,0.34,2,283,0
low,0,0.54,3,158,0
high,0,0.77,4,197,0
low,0,0.75,2,231,0
low,0,0.52,3,148,0
low,0,0.81,5,259,1
high,0,0.75,4,272,0
medium,0,0.58,3,132,0
low,0,0.93,2,222,0
medium,0,0.62,10,251,0
medium,0,0.43,3,164,0
low,0,0.35,3,244,0
medium,0,0.77,7,236,0
low,1,0.56,3,171,0
low,0,0.77,6,242,1
medium,0,0.78,4,242,0
low,0,0.87,2,122,0
low,0,0.86,5,270,1
medium,0,0.79,5,218,1
medium,0,0.09,4,268,1
low,0,0.33,3,239,0
medium,0,0.98,3,185,0
low,0,0.39,3,156,1
low,0,0.43,6,109,0
medium,0,0.53,4,135,0
low,0,0.72,6,244,1
medium,0,0.09,4,266,1
low,1,0.74,3,273,0
medium,0,0.62,3,243,0
low,0,0.84,6,249,1
low,0,0.78,3,164,1
medium,0,0.98,3,251,0
low,0,0.66,3,185,0
low,1,0.25,6,133,0
medium,1,0.66,2,220,0
medium,0,0.45,3,138,1
high,0,0.63,2,191,0
high,0,0.56,2,162,0
medium,0,0.59,2,243,0
low,0,0.85,3,163,0
medium,0,0.6,3,201,0
medium,1,0.97,3,262,0
low,0,0.57,3,176,0
low,0,0.86,4,156,0
medium,0,0.82,4,193,0
medium,0,0.77,3,241,0
low,0,0.14,5,166,0
low,0,0.75,4,194,0
low,0,0.88,4,160,0
low,0,0.74,2,244,0
low,0,0.54,2,213,0
high,0,0.92,5,190,0
medium,0,0.75,4,170,0
medium,0,0.13,3,188,0
medium,0,0.09,4,255,1
low,0,0.5,3,240,0
medium,0,0.44,3,138,1
low,0,0.95,2,255,0
low,0,0.59,2,106,0
high,0,0.81,2,140,0
low,0,0.69,3,239,0
medium,0,0.73,3,195,0
high,0,0.21,6,163,0
medium,1,0.7,7,215,0
high,0,0.49,10,254,0
low,0,0.89,3,232,0
low,0,0.71,3,206,0
low,1,0.84,2,215,0
low,0,0.77,5,207,0
low,0,0.69,3,167,0
low,0,0.79,5,212,0
low,1,0.84,2,253,0
medium,0,0.52,2,180,0
high,0,0.98,3,171,0
medium,0,0.72,3,160,0
low,1,0.5,3,229,0
low,0,0.87,3,176,0
low,0,0.79,2,173,0
medium,1,0.51,2,234,0
low,1,0.62,2,208,0
low,0,0.99,3,167,0
medium,0,0.1,4,287,1
high,0,0.81,6,221,0
low,0,0.38,3,140,1
low,0,0.83,3,160,0
low,1,0.13,4,185,0
medium,0,0.87,3,144,0
medium,0,0.43,3,149,1
high,0,0.72,3,221,0
low,0,0.52,3,239,0
medium,0,0.77,3,232,0
medium,0,0.91,5,257,1
low,0,0.93,4,169,0
medium,0,0.51,4,206,0
low,0,0.93,3,177,0
medium,0,0.54,3,234,0
medium,1,1.0,3,162,0
low,0,0.15,2,199,0
low,0,0.92,2,228,0
medium,0,0.74,2,254,0
medium,1,0.59,7,157,0
medium,0,0.96,3,225,0
medium,0,0.95,3,192,0
medium,0,0.86,5,238,1
medium,0,0.72,3,167,0
medium,0,0.47,3,165,0
medium,0,0.59,3,197,0
high,0,0.75,4,114,0
medium,0,0.36,3,138,1
low,1,0.11,4,308,1
low,0,0.8,2,206,0
low,0,0.86,5,222,1
high,0,0.38,3,160,0
medium,0,0.66,3,149,0
medium,0,0.71,3,133,0
low,1,0.42,2,128,0
medium,0,0.39,3,157,1
low,0,0.84,5,270,1
medium,0,0.7,3,202,0
medium,0,0.59,3,107,0
low,0,0.92,3,191,0
low,0,0.73,5,230,1
low,1,0.52,3,176,0
medium,0,0.56,2,275,0
low,1,0.76,2,148,0
medium,0,0.86,4,211,0
medium,1,0.61,3,271,0
medium,1,0.83,2,232,0
medium,1,0.83,3,167,0
medium,0,0.66,3,139,0
low,0,0.58,2,233,0
medium,0,0.94,3,270,0
low,0,0.13,4,173,0
low,0,0.77,3,226,0
low,0,0.11,4,276,1
low,0,0.65,4,141,0
medium,1,0.72,4,241,0
low,1,0.96,2,167,0
medium,0,0.66,2,257,0
medium,0,0.59,2,243,0
low,0,0.74,5,249,1
medium,0,0.57,2,159,0
high,0,0.5,2,204,0
medium,0,0.7,3,232,0
low,0,0.15,6,167,0
low,0,0.52,2,150,0
medium,0,0.8,2,162,0
low,0,0.91,2,166,0
medium,0,0.77,4,188,0
high,0,0.59,2,199,0
medium,0,0.81,4,173,0
low,0,0.72,2,148,0
high,0,0.97,7,215,0
low,0,0.57,3,218,0
low,0,0.99,3,239,0
medium,0,0.82,3,196,0
low,1,0.17,5,241,0
medium,0,0.84,3,162,0
low,0,0.85,3,159,0
medium,0,0.55,3,110,0
medium,0,0.68,3,274,0
medium,1,0.5,2,220,0
low,0,0.83,2,242,0
low,0,0.78,2,212,0
low,1,0.53,3,202,0
medium,0,0.13,5,198,0
low,0,0.82,2,206,0
medium,0,0.11,4,281,1
medium,0,0.5,2,237,0
medium,0,0.54,4,148,0
low,0,0.1,4,291,1
medium,0,0.76,2,206,0
medium,0,0.74,2,189,0
medium,0,0.73,8,139,0
low,0,0.73,2,216,0
low,0,0.73,3,248,0
medium,1,0.49,3,246,0
low,0,0.7,2,173,0
low,0,0.09,4,294,1
low,0,0.1,4,303,1
low,1,0.7,4,163,0
medium,0,0.74,3,273,0
low,0,0.75,5,256,1
medium,0,0.87,3,132,0
medium,0,0.6,2,260,0
medium,0,0.99,4,199,0
low,0,0.88,3,184,0
high,0,0.2,4,230,0
low,0,0.36,3,127,1
low,0,0.76,3,240,0
medium,0,0.67,3,147,0
low,0,0.83,3,195,0
medium,0,0.45,3,136,1
low,0,0.53,2,167,0
medium,0,0.95,3,258,0
medium,0,0.78,5,225,1
low,0,0.89,3,181,0
medium,0,0.53,5,272,0
medium,0,0.48,3,194,0
low,0,0.66,4,223,0
low,0,0.82,2,180,0
low,0,0.41,5,301,1
medium,1,0.63,2,177,0
medium,0,0.62,4,103,0
low,0,0.63,3,168,0
medium,0,0.82,6,273,1
low,0,0.9,2,137,0
medium,0,0.11,5,259,1
low,1,0.5,3,180,0
medium,0,0.54,3,206,0
medium,0,0.64,2,157,0
low,0,0.72,4,270,0
medium,0,0.89,2,233,0
low,0,0.45,3,149,1
low,1,0.62,3,153,0
low,0,0.97,2,192,0
medium,0,0.55,3,262,0
high,0,0.9,2,254,0
low,0,0.63,3,217,0
medium,0,0.8,3,161,0
low,1,0.7,2,194,0
medium,0,0.72,3,217,0
high,0,0.82,3,137,0
low,0,0.95,2,235,0
low,0,0.46,2,159,0
low,1,0.38,3,140,1
medium,0,0.56,3,238,0
medium,0,0.67,4,190,0
high,0,0.89,3,203,0
low,0,0.37,2,121,0
medium,0,0.75,4,148,0
medium,0,0.77,5,276,1
low,0,0.79,2,270,0
low,0,0.47,4,254,1
low,0,0.56,2,158,0
low,0,0.4,4,250,0
low,0,0.96,3,264,0
low,0,0.83,3,218,0
medium,0,0.88,3,265,0
low,0,0.66,3,162,0
low,1,0.76,3,252,0
medium,0,0.09,4,269,1
medium,0,0.52,2,203,0
medium,0,0.92,2,223,0
medium,0,0.42,5,191,0
medium,0,0.75,6,243,1
low,1,0.59,3,153,0
low,0,0.44,2,128,0
medium,0,0.81,6,108,0
medium,0,0.72,3,164,0
low,0,0.37,3,135,1
medium,0,0.89,4,225,0
medium,0,0.9,3,231,0
high,0,0.74,2,194,0
medium,0,0.55,2,225,0
low,0,0.46,3,161,1
high,0,0.94,3,210,0
medium,0,0.21,5,287,0
low,0,0.86,2,196,0
medium,0,0.16,5,187,0
low,0,0.31,7,266,0
medium,1,0.42,3,103,0
low,1,0.96,6,241,0
low,0,0.09,5,283,1
low,0,0.51,2,212,0
medium,0,0.55,3,151,0
medium,0,0.54,4,166,0
low,0,0.63,3,179,0
medium,1,0.9,3,259,0
medium,1,0.6,2,135,0
low,0,0.6,4,157,0
medium,0,0.81,3,270,0
low,0,0.11,4,279,1
low,0,0.66,3,202,0
low,0,0.46,3,155,1
medium,0,0.54,3,250,0
medium,0,0.61,3,224,0
low,0,0.72,5,258,1
medium,0,0.19,5,222,0
medium,0,0.27,10,108,0
medium,0,0.72,3,247,0
low,0,0.35,4,138,0
medium,0,0.55,4,222,0
medium,0,0.1,4,298,1
high,0,0.37,4,139,0
high,0,0.76,4,137,0
medium,0,0.16,2,213,0
medium,0,0.51,3,272,0
low,0,0.59,4,233,0
low,0,0.84,2,269,0
low,0,0.39,3,115,0
low,0,0.81,4,170,0
medium,0,0.09,4,296,1
medium,0,0.33,6,214,0
medium,0,0.95,2,225,0
low,0,0.35,3,268,0
low,0,0.62,3,188,0
low,0,0.89,4,247,0
low,0,0.74,3,231,0
medium,1,0.62,3,212,0
low,0,0.8,2,135,0
medium,0,0.6,3,211,0
medium,0,0.94,3,147,0
medium,1,0.96,2,234,0
medium,0,0.84,4,245,0
low,0,0.78,5,260,1
low,0,0.1,4,309,1
low,0,0.57,3,144,0
low,0,0.45,3,147,1
medium,0,0.93,2,154,0
low,0,0.53,4,159,0
low,1,0.81,3,152,0
medium,0,0.78,3,257,0
low,0,0.1,4,287,1
low,0,0.45,3,131,1
high,0,0.45,3,129,1
medium,1,0.89,2,182,0
low,0,0.51,2,196,0
medium,0,0.32,4,255,0
low,0,0.44,3,154,1
low,0,0.4,3,158,1
low,1,0.56,2,141,0
medium,1,0.38,2,187,0
medium,0,0.98,3,150,0
low,0,0.76,3,234,0
medium,0,0.59,2,156,0
medium,0,0.66,5,165,0
low,1,0.46,5,254,0
low,1,0.81,4,255,0
low,0,0.48,4,279,0
high,0,0.63,2,192,0
low,0,0.43,3,130,1
medium,1,0.59,2,176,0
low,0,0.52,3,192,0
medium,0,0.37,3,129,1
low,0,0.29,4,138,0
medium,0,0.9,2,150,0
medium,1,0.76,5,254,1
low,1,0.16,5,137,0
medium,0,0.75,3,263,0
low,0,0.83,4,160,0
medium,0,0.25,6,237,0
medium,1,0.76,2,186,0
medium,0,1.0,4,142,0
medium,0,0.92,3,174,0
medium,0,0.34,3,114,0
medium,0,0.35,2,140,0
medium,0,0.86,5,257,1
high,0,0.99,2,213,0
medium,0,0.43,3,135,1
high,0,0.8,3,242,0
medium,0,0.59,3,245,0
low,0,0.92,3,145,0
low,0,0.74,3,193,0
low,0,0.7,3,250,0
medium,0,0.68,4,184,0
low,0,0.79,2,156,0
medium,0,0.76,3,266,0
high,1,0.56,3,197,0
high,0,0.89,3,176,0
medium,0,0.96,3,153,0
medium,0,0.42,4,125,0
low,0,0.73,3,230,0
medium,0,0.67,2,156,0
low,1,0.57,2,167,0
low,0,0.97,2,118,0
medium,0,0.86,2,259,0
low,0,0.98,3,188,0
low,0,0.55,4,239,0
medium,0,0.78,3,209,0
medium,0,0.57,2,196,0
low,0,0.75,4,186,0
low,0,0.43,3,129,1
medium,0,0.76,3,225,0
high,0,0.56,2,109,0
medium,0,0.7,3,263,0
low,0,0.87,3,213,0
low,0,0.94,2,228,0
medium,0,0.41,3,143,1
low,1,0.48,3,140,0
medium,1,0.38,3,150,1
low,0,0.77,3,147,0
medium,0,0.98,10,170,0
low,0,0.78,5,241,1
low,0,0.91,2,178,0
medium,1,0.8,4,199,0
medium,0,0.79,3,218,0
low,0,0.55,2,178,0
low,0,0.73,3,173,0
medium,0,0.75,3,231,0
low,0,0.9,2,205,0
medium,0,0.99,2,181,0
low,0,0.52,3,183,0
medium,0,0.74,5,232,1
medium,0,0.65,2,153,0
medium,0,0.87,2,121,0
